archivo,extension,tamano_mb,sha256_12,estado_lectura,filas,columnas,hojas,cabecera_o_hoja
Base de datos nvestigación portafolio de negocios 4.0/EMP_TOUR_SEX_ECO_NB_A-20260603T2030.csv,.csv,2.764,6e97b1fdb734,"texto utf-8-sig delim=','",no contado; archivo grande,11,,ref_area.label; source.label; indicator.label; sex.label; classif1.label; time; obs_value; obs_status.label
Base de datos nvestigación portafolio de negocios 4.0/EMP_TOUR_SEX_ECO_NB_A-20260603T2116.csv,.csv,2.764,6e97b1fdb734,"texto utf-8-sig delim=','",no contado; archivo grande,11,,ref_area.label; source.label; indicator.label; sex.label; classif1.label; time; obs_value; obs_status.label
Base de datos nvestigación portafolio de negocios 4.0/EMP_TPIF_SEX_NB_A-20260603T2030.csv,.csv,0.17,0ff663f09ee1,"texto utf-8-sig delim=','",no contado; archivo grande,9,,ref_area.label; source.label; indicator.label; sex.label; time; obs_value; obs_status.label; note_indicator.label
Base de datos nvestigación portafolio de negocios 4.0/EMP_TPIF_SEX_NB_A-20260603T2116.csv,.csv,0.17,0ff663f09ee1,"texto utf-8-sig delim=','",no contado; archivo grande,9,,ref_area.label; source.label; indicator.label; sex.label; time; obs_value; obs_status.label; note_indicator.label
Base de datos nvestigación portafolio de negocios 4.0/Empresas_de_Turismo_Distrito_Riohacha.csv,.csv,0.344,430c42f27843,"texto utf-8-sig delim=','",no contado; archivo grande,13,,ANO; CODIGO_RNT; COD_MUN; COD_DPTO; ESTADO_RNT; RAZON_SOCIAL_ESTABLECIMIENTO; DEPARTAMENTO; MUNICIPIO
Base de datos nvestigación portafolio de negocios 4.0/Estructura_empresarial_seg_n_municipio_y_tama_o_de_empresa.csv,.csv,0.012,573348b6c19e,"texto utf-8-sig delim=','",no contado; archivo grande,10,,AÑO; Municipio; N° Empresas Micro; N° Empresas Pequeña; N° Empresas Mediana; N° Empresas Grande; Activos Micro; Activos Pequeña
Base de datos nvestigación portafolio de negocios 4.0/FNCER.csv,.csv,0.033,f0553b1c306b,"texto utf-8-sig delim=','",no contado; archivo grande,12,,DS_ESTADO; DS_PROYECTO; DS_PROMOTOR; DS_DEPARTAMENTO; DS_MUNICIPIO; BK_TIEMPO; DS_TIPO_ENERGIA; VL_CAPACIDAD
Base de datos nvestigación portafolio de negocios 4.0/FixedBroadbandSubscriptions_2000-2020.xlsx,.xlsx,0.22,46b4915d4a71,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/HOGARES_Cuadros_CNPV_2018.XLSX,.xlsx,0.931,ff7754daa56c,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
Base de datos nvestigación portafolio de negocios 4.0/IDIDataset2024edition (1).xlsx,.xlsx,0.123,8e07eddcebc6,xlsx: inventario liviano; lectura profunda solo en analisis focal,,,,
